name,boys,girls,total,gender
RAIFE,212,0,212,1
RAIHAN,628,0,628,1
RAJ,212,0,212,1
RAJA,1082,4,1086,0.996316758747698
RAJAN,749,0,749,1
RAJVEER,379,37,416,0.9110576923076923
RALPH,3068,0,3068,1
RALPHIE,402,0,402,1
RALPHY,233,0,233,1
RAMI,234,0,234,1
RANA,85,289,374,0.22727272727272727
RANVEER,278,0,278,1
RAPHAEL,2734,0,2734,1
RASHID,217,0,217,1
RAUL,431,0,431,1
RAVEN,92,423,515,0.1786407766990291
RAVI,473,0,473,1
RAWAN,4,200,204,0.0196078431372549
RAY,662,7,669,0.9895366218236173
RAYAAN,610,168,778,0.7840616966580977
RAYAN,2252,441,2693,0.8362421091719272
RAYHAAN,331,0,331,1
RAYHAN,939,3,942,0.9968152866242038
RAYMOND,1027,0,1027,1
RAYNE,59,143,202,0.29207920792079206
RAYYAN,2347,93,2440,0.9618852459016394
REAGAN,933,304,1237,0.7542441390460792
REECE,23074,95,23169,0.9958996935560447
REEF,269,0,269,1
REEGAN,765,111,876,0.8732876712328768
REES,400,0,400,1
REESE,334,380,714,0.4677871148459384
REGAN,3136,725,3861,0.8122248122248122
REGGIE,3721,0,3721,1
REGINALD,552,0,552,1
REHAAN,469,0,469,1
REHAN,1305,0,1305,1
REID,495,0,495,1
REILLY,602,33,635,0.9480314960629921
REISS,836,8,844,0.990521327014218
REMI,580,629,1209,0.47973531844499584
REMY,768,318,1086,0.7071823204419889
RENE,196,213,409,0.4792176039119804
REO,230,25,255,0.9019607843137255
REON,327,0,327,1
REUBEN,12417,0,12417,1
REX,1077,0,1077,1
RHIAN,60,1507,1567,0.03828972559029994
RHODRI,657,0,657,1
RHYDIAN,378,0,378,1
RHYS,22425,0,22425,1
RIAN,1047,56,1103,0.9492293744333635
RIAZ,271,0,271,1
RICARDO,917,0,917,1
RICCARDO,230,0,230,1
RICHARD,7330,0,7330,1
RICHIE,507,0,507,1
RICKY,1421,0,1421,1
RICO,864,0,864,1
RIDA,21,469,490,0.04285714285714286
RIDWAN,598,0,598,1
RILEY,29084,729,29813,0.9755475799148022
RILEY-JAMES,241,0,241,1
RILEY-JAY,205,0,205,1
RIO,4203,610,4813,0.8732599210471639
RISHI,978,0,978,1
RITCHIE,203,0,203,1
RIVER,770,527,1297,0.5936777178103315
RIYAD,247,0,247,1
RIYAN,198,120,318,0.6226415094339622
RIZWAN,476,0,476,1
ROAN,568,4,572,0.993006993006993
ROBBIE,4281,4,4285,0.9990665110851809
ROBERT,23384,0,23384,1
ROBERTO,468,0,468,1
ROBIN,2797,412,3209,0.8716110937986912
ROBSON,508,0,508,1
ROBYN,26,8262,8288,0.003137065637065637
ROCCO,3161,0,3161,1
ROCKY,479,0,479,1
RODRIGO,385,0,385,1
ROGAN,233,0,233,1
ROGER,251,0,251,1
ROHAAN,235,0,235,1
ROHAN,4656,20,4676,0.9957228400342173
ROHIT,345,0,345,1
ROLAND,274,0,274,1
ROMA,16,464,480,0.03333333333333333
ROMAN,4594,0,4594,1
ROMARIO,321,0,321,1
ROME,218,0,218,1
ROMEO,1418,0,1418,1
ROMY,15,743,758,0.01978891820580475
RONALD,574,0,574,1
RONALDO,227,0,227,1
RONAN,2271,0,2271,1
RONI,179,139,318,0.5628930817610063
RONNI,19,228,247,0.07692307692307693
RONNIE,6721,551,7272,0.9242299229922992
RONNY,437,12,449,0.9732739420935412
RORY,9829,12,9841,0.9987806117264506
ROSCOE,202,0,202,1
ROSHAN,648,35,683,0.9487554904831625
ROSS,7495,0,7495,1
ROWAN,6648,1423,8071,0.8236897534382357
ROWEN,143,148,291,0.49140893470790376
ROY,562,0,562,1
RUAIRI,494,0,494,1
RUAN,207,0,207,1
RUARI,295,0,295,1
RUBEN,4249,0,4249,1
RUBY,3,47733,47736,0.00006284565108094519
RUDI,781,61,842,0.9275534441805225
RUDRA,205,3,208,0.9855769230769231
RUDY,1160,14,1174,0.9880749574105622
RUEBEN,665,0,665,1
RUFUS,2308,0,2308,1
RUI,270,17,287,0.9407665505226481
RUPERT,2229,0,2229,1
